name,category,rating,reviews,phone,address,maps_url
Cabinet vétérinaire Animal House,Animal hospital,,,,C8W5+8M2,https://www.google.com/maps/place/Cabinet+v%C3%A9t%C3%A9rinaire+Animal+House/data=!4m7!3m6!1s0x12f059006eb05467:0x3caf5c979887d6d9!8m2!3d36.4457672!4d7.3091318!16s%2Fg%2F11lv4wbtjw!19sChIJZ1SwbgBZ8BIR2daHmJdcrzw?authuser=0&hl=en&rclk=1
Clinique Vétérinaire Animal Planet,Veterinarian,1.4,9.0,0550 77 45 47,Rte de Sidi Achour,https://www.google.com/maps/place/Clinique+V%C3%A9t%C3%A9rinaire+Animal+Planet/data=!4m7!3m6!1s0x12f007d3a3a503f5:0xfc122b3bdee02058!8m2!3d36.8780911!4d7.7144113!16s%2Fg%2F11k5_w3g44!19sChIJ9QOlo9MH8BIRWCDg3jsrEvw?authuser=0&hl=en&rclk=1
Eurl veto medical,Veterinary pharmacy,4.5,2.0,,MPJR+Q8X,https://www.google.com/maps/place/Eurl+veto+medical/data=!4m7!3m6!1s0x12f075950e26f0f9:0x6ddff27d2892675!8m2!3d36.681998!4d7.7408532!16s%2Fg%2F11rzrxf5qm!19sChIJ-fAmDpV18BIRdSaJ0if_3QY?authuser=0&hl=en&rclk=1
Vétérinaire,Veterinarian,3.0,2.0,,RJ34+7HH,https://www.google.com/maps/place/V%C3%A9t%C3%A9rinaire/data=!4m7!3m6!1s0x12f011fc0e81103d:0x3d0cdde7cf8a2d3f!8m2!3d36.8031859!4d7.6064947!16s%2Fg%2F11c54996qd!19sChIJPRCBDvwR8BIRPy2Kz-fdDD0?authuser=0&hl=en&rclk=1
بيطري,Veterinarian,,,,QJ3R+4CX,https://www.google.com/maps/place/%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12f00d003acafac1:0xda9d679a0168df9a!8m2!3d36.7528658!4d7.641098!16s%2Fg%2F11ykz7y1p2!19sChIJwfrKOgAN8BIRmt9oAZpnndo?authuser=0&hl=en&rclk=1
"Clinique vétérinaire Healthy vet ""Dr.Zouitene Ayoub""",Animal hospital,4.1,9.0,0659 66 17 13,VPQ8+CF2,https://www.google.com/maps/place/Clinique+v%C3%A9t%C3%A9rinaire+Healthy+vet+%22Dr.Zouitene+Ayoub%22/data=!4m7!3m6!1s0x12f0075333b7fde5:0xa862c0000cab81d9!8m2!3d36.8886809!4d7.7161927!16s%2Fg%2F11k4n_f3j7!19sChIJ5f23M1MH8BIR2YGrDADAYqg?authuser=0&hl=en&rclk=1
Cabinet Mon Veterinaire dr.CHOUAKRIA M,Veterinarian,4.5,21.0,0657 05 85 53,"VPVC+627, Unnamed Road",https://www.google.com/maps/place/Cabinet+Mon+Veterinaire+dr.CHOUAKRIA+M/data=!4m7!3m6!1s0x12f007b8e9af6ddb:0x3079f77563cd551b!8m2!3d36.8930349!4d7.720049!16s%2Fg%2F11m_h1cl8d!19sChIJ222v6bgH8BIRG1XNY3X3eTA?authuser=0&hl=en&rclk=1
H&R vet,Animal hospital,5.0,1.0,0697 21 88 45,RMR7+873,https://www.google.com/maps/place/H%26R+vet/data=!4m7!3m6!1s0x12f00f004ec76073:0x8f56cda5175a0a4f!8m2!3d36.8407625!4d7.6631719!16s%2Fg%2F11y2wwc8p8!19sChIJc2DHTgAP8BIRTwpaF6XNVo8?authuser=0&hl=en&rclk=1
Cabinet vétérinaire Souaki Mohammed Atifعيادة بيطرية سواقي محمد عاطف,Veterinarian,,,0697 41 00 08,·,https://www.google.com/maps/place/Cabinet+v%C3%A9t%C3%A9rinaire+Souaki+Mohammed+Atif%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A%D8%A9+%D8%B3%D9%88%D8%A7%D9%82%D9%8A+%D9%85%D8%AD%D9%85%D8%AF+%D8%B9%D8%A7%D8%B7%D9%81%E2%80%AD/data=!4m7!3m6!1s0x12f05138d5f9bfc7:0xf784f4528b2a7eef!8m2!3d36.5464715!4d7.2297289!16s%2Fg%2F11vxw_gyhf!19sChIJx7_51ThR8BIR734qi1L0hPc?authuser=0&hl=en&rclk=1
بيطري,Veterinarian,3.0,1.0,,JM9X+5V5,https://www.google.com/maps/place/%D8%A8%D9%8A%D8%B7%D8%B1%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12f077ccbf64dbcf:0x10171b107011c230!8m2!3d36.6178799!4d7.6997319!16s%2Fg%2F11jycwd5c6!19sChIJz9tkv8x38BIRMMIRcBAbFxA?authuser=0&hl=en&rclk=1
Animale Planet Dr. Mameria,Animal hospital,3.7,12.0,0550 77 45 47,VPF8+RFJ,https://www.google.com/maps/place/Animale+Planet+Dr.+Mameria/data=!4m7!3m6!1s0x12f009af869126e1:0xefab6f5bba5ba4f1!8m2!3d36.8745869!4d7.7161382!16s%2Fg%2F11j1353d4c!19sChIJ4SaRhq8J8BIR8aRbultvq-8?authuser=0&hl=en&rclk=1
Cabinet vétérinaire ANiMa,Emergency veterinarian service,,,,RFJ5+J7,https://www.google.com/maps/place/Cabinet+v%C3%A9t%C3%A9rinaire+ANiMa/data=!4m7!3m6!1s0x12f017118628c0cf:0xfe9c908866a25364!8m2!3d36.8314689!4d7.4581485!16s%2Fg%2F11jyzykxf8!19sChIJz8AohhEX8BIRZFOiZoiQnP4?authuser=0&hl=en&rclk=1
